cz,czname,pop2000,fips,statename,stateabbrv,le_agg_q1_F,le_raceadj_q1_F,le_agg_q2_F,le_raceadj_q2_F,le_agg_q3_F,le_raceadj_q3_F,le_agg_q4_F,le_raceadj_q4_F,le_agg_q1_M,le_raceadj_q1_M,le_agg_q2_M,le_raceadj_q2_M,le_agg_q3_M,le_raceadj_q3_M,le_agg_q4_M,le_raceadj_q4_M,avg_life_Q1,avg_life_Q2,avg_life_Q3,avg_life_Q4,avg_life_M,avg_life_F,avg_life_all
29504,Sedalia,88232,29,Missouri,MO,81.367661,81.793755,83.920921,84.300041,84.808228,85.149971,88.20752,88.361862,75.548065,76.023094,79.439232,79.877586,82.385155,82.713737,83.445251,83.800407,78.68314375,81.884445,83.76427275,85.95376,80.40406588,84.73874488,82.57140538
29505,Polk,33693,29,Missouri,MO,82.245865,82.610184,84.352196,84.730286,86.587158,86.925461,82.000656,82.46183,76.11058,76.601028,84.018379,84.26329,83.334595,83.736427,87.612152,87.817444,79.39191425,84.34103775,85.14591025,84.9730205,82.93673688,83.9892045,83.46297069
29601,Columbia,302388,29,Missouri,MO,80.365257,80.8592,84.17205,84.562004,86.485016,86.794403,88.635765,88.822861,74.885368,75.467949,80.118881,80.568733,83.353012,83.722473,85.483727,85.773643,77.8944435,82.355417,85.088726,87.178999,81.17172325,85.0870695,83.12939638
29602,Eldon,79924,29,Missouri,MO,81.399986,81.767365,84.306664,84.677505,86.847008,87.15979,87.454231,87.756531,75.23645,75.686287,80.081345,80.508354,83.401001,83.735321,82.724945,83.130035,78.522522,82.393467,85.28578,85.2664355,80.56296725,85.171135,82.86705113
29700,Springfield,440866,29,Missouri,MO,82.140419,82.503555,84.564674,84.9114,87.143379,87.44165,87.782265,87.982506,76.651009,77.086296,81.044968,81.437294,83.14254,83.523552,85.142433,85.405441,79.59531975,82.989584,85.31278025,86.57816125,81.67919163,85.558731,83.61896131
29800,Monett,137575,29,Missouri,MO,81.835632,82.198433,84.192902,84.554474,86.624893,86.947807,88.188606,88.357025,76.472893,76.837212,80.084724,80.506905,83.244133,83.592659,85.148682,85.43914,79.3360425,82.33475125,85.102373,86.78336325,81.4157935,85.3624715,83.3891325
29901,Joplin,266742,29,Missouri,MO,80.446205,80.8451,83.503769,83.912125,85.593727,85.926712,86.692116,86.868347,74.980827,75.391914,79.934929,80.360825,82.716827,83.079369,83.813057,84.08033,77.9160115,81.927912,84.32915875,85.3634625,80.54475975,84.22351263,82.38413619
29902,Center,54651,29,Missouri,MO,80.876617,81.320091,83.458649,83.825554,86.833588,87.109444,87.177505,87.533669,75.880119,76.337479,81.891457,82.269745,82.848511,83.176689,83.991341,84.376106,78.6035765,82.86135125,84.992058,85.76965525,81.34643088,84.76688963,83.05666025
30000,Russellville,138646,5,Arkansas,AR,81.302452,81.746223,82.868896,83.089828,85.076889,85.468475,87.124962,87.434921,76.070786,76.526192,79.876328,80.074287,81.520775,81.969757,82.845207,83.264633,78.91141325,81.47733475,83.508974,85.16743075,80.26849563,84.26408075,82.26628819
30100,Fort Smith,332832,5,Arkansas,AR,80.195,80.588615,83.458649,83.757111,84.794388,85.126472,87.202576,87.487976,75.231651,75.596992,79.216171,79.543365,81.008629,81.382912,83.403603,83.779282,77.9030645,81.493824,83.07810025,85.46835925,79.89532563,84.07634838,81.985837
30200,Muskogee,152466,40,Oklahoma,OK,79.492851,80.116394,82.947456,83.33741,85.710327,86.115097,86.045258,86.301582,75.127716,75.729942,79.103508,79.493996,82.251289,82.685493,82.707687,83.043922,77.61672575,81.2205925,84.1905515,84.52461225,80.01794413,83.75829688,81.8881205
30300,Fayetteville,384122,5,Arkansas,AR,81.044601,81.35508,83.632805,83.87867,85.455688,85.77182,87.170654,87.36232,76.149307,76.41066,79.772896,80.041267,82.752281,83.071899,83.8339,84.095634,78.739912,81.8314095,84.262922,85.615627,80.7659805,84.45895475,82.61246763
30401,Stillwater,79601,40,Oklahoma,OK,80.816315,81.167664,83.532387,84.006973,84.760201,85.138214,87.58844,87.768173,75.229385,75.664719,80.646347,81.124702,82.825912,83.193718,83.940941,84.231537,78.21952075,82.32760225,83.97951125,85.88227275,80.85715763,84.34729588,82.60222675
30402,Tulsa,921246,40,Oklahoma,OK,79.779091,80.300705,82.52932,82.922523,85.105606,85.398499,86.822037,87.122368,74.400993,74.934006,78.996086,79.391739,81.808632,82.149353,84.085884,84.44442,77.35369875,80.959917,83.6155225,85.61867725,80.02638913,83.74751863,81.88695388
30403,Okmulgee,51499,40,Oklahoma,OK,80.436958,81.070152,82.32621,82.927155,85.329712,85.765228,85.022766,85.236298,75.330132,76.029335,78.981445,79.580421,79.729843,80.300873,81.398483,81.74588,78.21664425,80.95380775,82.781414,83.35085675,79.1370515,83.51430988,81.32568069
30501,Woodward,26123,40,Oklahoma,OK,82.132172,82.28331,85.34906,85.588181,85.097862,85.442612,83.695595,84.177895,75.711212,75.956329,79.505028,79.804855,81.328979,81.760101,82.207207,82.642067,79.02075575,82.561781,83.4073885,83.180691,79.86447225,84.22083588,82.04265406
30502,Enid,102415,40,Oklahoma,OK,80.356216,80.780312,83.021484,83.358246,84.785812,85.117447,87.337372,87.61586,75.684143,76.086281,79.865952,80.184036,82.128349,82.502205,84.981071,85.345459,78.226738,81.6074295,83.63345325,86.3199405,80.847187,84.04659363,82.44689031
30601,El Paso,857648,48,Texas,TX,85.184875,81.726158,85.825615,83.043396,86.394913,84.196449,87.84021,86.740738,80.003593,76.434868,81.885628,79.194626,82.986679,81.018021,84.131653,83.172989,80.8373735,82.48731625,83.6490155,85.4713975,81.10350713,85.11904425,83.11127569
30602,Alamogordo,81709,35,New Mexico,NM,81.133904,79.973618,85.673737,85.234657,85.81675,85.376106,86.551849,86.679588,77.293091,76.242638,80.363159,79.933464,81.221611,81.092926,83.142685,83.344002,78.66081275,82.80125425,83.37684825,84.929531,80.329197,84.55502613,82.44211156
30604,Deming,61950,35,New Mexico,NM,83.655418,82.095634,85.47097,84.151054,83.799316,82.928581,83.453781,83.154404,78.218338,76.592499,82.615288,81.339478,83.828957,83.009544,86.021477,85.754059,80.14047225,83.3941975,83.3915995,84.59593025,82.172455,83.58864475,82.88054988
30701,Roswell,113040,35,New Mexico,NM,81.415581,79.671181,83.830635,83.099968,85.348763,85.141731,86.992447,86.821381,76.794403,74.94825,81.124123,80.291435,83.128639,82.814926,83.160942,82.986679,78.20735375,82.08654025,84.10851475,84.99036225,80.65617463,84.04021088,82.34819275
30801,Hobbs,90061,35,New Mexico,NM,80.66143,79.212616,83.15976,82.619431,83.968208,83.742096,85.638794,85.798058,75.724945,74.109703,79.010338,78.321617,82.40303,82.094872,81.299126,81.407417,77.4271735,80.7777865,83.0520515,83.53584875,79.296381,83.10004913,81.19821506
30802,Lubbock,287568,48,Texas,TX,80.748672,79.857231,83.457352,82.874931,85.728523,85.639351,87.29171,87.411003,75.956352,74.94207,78.818932,78.197578,82.310791,82.223778,85.303383,85.431786,77.87608125,80.83719825,83.97561075,86.3594705,80.39808375,84.12609663,82.26209019
30901,Clovis,73078,35,New Mexico,NM,81.662514,80.497215,82.694061,82.475563,85.736549,85.603233,88.431473,88.248138,77.473114,76.188324,80.199547,79.936043,81.333733,81.204033,83.629539,83.49044,78.95529175,81.3263035,83.469387,85.9498975,80.43184663,84.41859325,82.42521994
30902,Littlefield,29588,48,Texas,TX,79.583427,77.854202,85.336685,84.632973,85.141762,85.046059,85.360664,85.551659,78.636154,76.644775,79.640785,78.858322,83.744659,83.690697,82.136833,82.415154,78.1796395,82.11719125,84.40579425,83.8660775,80.72092238,83.56342888,82.14217563
30903,Amarillo,240752,48,Texas,TX,80.713287,80.240646,82.657883,82.530098,84.809288,84.968575,87.932228,88.065018,75.548508,75.024643,79.070633,78.918434,82.662865,82.791458,84.0466,84.241249,77.881771,80.794262,83.8080465,86.07127375,80.28804875,83.98962788,82.13883831
